taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Morelia spilota,sdm,,,R,Morelia spilota,RA,Morelia spilota
Myiagra inquieta,sdm,,,R,Myiagra inquieta,RA,Myiagra inquieta
Myotis macropus,sdm,,,E,Myotis macropus,RA,Myotis macropus
Myriocephalus rhizocephalus,sdm,,,,,RA,Myriocephalus rhizocephalus
Myriophyllum crispatum,sdm,,,V,Myriophyllum crispatum,VU,Myriophyllum crispatum
Neolaemosaccus electilis,ibra,,,,,,
Neophema chrysostoma,sdm,VU,Neophema chrysostoma,V,Neophema chrysostoma,RA,Neophema chrysostoma
Neophema elegans,sdm,,,R,Neophema elegans elegans,VU,Neophema elegans elegans
Neophema splendida,sdm,,,R,Neophema splendida,RA,Neophema splendida
Nephrurus deleani,ibra,,,R,Nephrurus deleani,RA,Nephrurus deleani
Nicotiana Corunna,ibra,,,,,VU,Nicotiana sp. Corunna (D.E.Symon 17088)
Nicotiana rosulata,ibra,,,,,RA,Nicotiana rosulata ssp. rosulata
Nymphoides crenata,sdm,,,R,Nymphoides crenata,VU,Nymphoides crenata
Oedura cincta,sdm,,,R,Oedura cincta,RA,Oedura cincta
Olearia adenolasia,sdm,,,R,Olearia adenolasia,VU,Olearia adenolasia
Olearia picridifolia,sdm,,,R,Olearia picridifolia,RA,Olearia picridifolia
Ophioglossum polyphyllum,sdm,,,R,Ophioglossum polyphyllum,,
Orobanche cernua,sdm,,,R,Orobanche cernua var. australiana,RA,Orobanche cernua var. australiana
Osteocarpum acropterum,sdm,,,R,Osteocarpum acropterum var. deminutum,,
Oxyura australis,sdm,,,R,Oxyura australis,VU,Oxyura australis
Pachycephala inornata,sdm,,,R,Pachycephala inornata,,
Pandion haliaetus,ibra,,,E,Pandion haliaetus cristatus,EN,Pandion haliaetus cristatus
Pardosa pexa,ibra,,,,,,
Parvipsitta porphyrocephala,sdm,,,,,RA,Parvipsitta porphyrocephala
Pedionomus torquatus,sdm,CR,Pedionomus torquatus,E,Pedionomus torquatus,EN,Pedionomus torquatus
Petrogale xanthopus,sdm,VU,Petrogale xanthopus xanthopus,V,Petrogale xanthopus,,
Petroica boodang,sdm,,,R,Petroica boodang boodang,VU,Petroica boodang boodang
Philotheca angustifolia,sdm,,,R,Philotheca angustifolia ssp. angustifolia,,
Philotheca linearis,sdm,,,,,,
Phlegmatospermum eremaeum,sdm,,,R,Phlegmatospermum eremaeum,RA,Phlegmatospermum eremaeum
Phyllangium sulcatum,sdm,,,V,Phyllangium sulcatum,RA,Phyllangium sulcatum
Phyllanthus oblanceolatus,ibra,,,,,RA,Phyllanthus oblanceolatus
Plantago debilis,sdm,,,,,RA,Plantago debilis
Platalea flavipes,sdm,,,,,RA,Platalea flavipes
Plegadis falcinellus,sdm,,,R,Plegadis falcinellus,RA,Plegadis falcinellus
Poa fordeana,sdm,,,,,RA,Poa fordeana
Podiceps cristatus,sdm,,,R,Podiceps cristatus australis,,
Podolepis decipiens,ibra,,,R*,,,
Podolepis jaceoides,sdm,,,R,Podolepis jaceoides,,
Podolepis longipedata,ibra,,,,,RA,Podolepis longipedata
Podolepis muelleri,sdm,,,V,Podolepis muelleri,VU,Podolepis muelleri
Pogonus perovalis,ibra,,,,,,
Pomaderris flabellaris,ibra,,,,,,
Prasophyllum occidentale,sdm,,,,,RA,Prasophyllum occidentale
Prostanthera florifera,sdm,,,,,RA,Prostanthera florifera
Pseudaphritis urvillii,sdm,,,,,RA,Pseudaphritis urvillii
Pseudomys australis,sdm,VU,Pseudomys australis,V,Pseudomys australis,,
Pteris tremula,sdm,,,R,Pteris tremula,RA,Pteris tremula
Pterocaulon serrulatum,ibra,,,,,RA,Pterocaulon serrulatum var. velutinum
Pterostylis biseta,sdm,,,,,RA,Pterostylis biseta
Pterostylis boormanii,sdm,,,,,RA,Pterostylis boormanii
Pterostylis cycnocephala,sdm,,,,,RA,Pterostylis cycnocephala
Pterostylis mirabilis,epbc,VU,Pterostylis mirabilis,V,Pterostylis mirabilis,VU,Pterostylis mirabilis
Pterostylis ovata,sdm,,,,,RA,Pterostylis ovata
Pterostylis xerophila,sdm,VU,Pterostylis xerophila,V,Pterostylis xerophila,EN,Pterostylis xerophila
Ptilotus parvifolius,sdm,,,,,RA,Ptilotus parvifolius
Pycnosorus chrysanthus,sdm,,,E,Pycnosorus chrysanthes,CR,Pycnosorus chrysanthes
Ranunculus pumilio,ibra,,,V,Ranunculus pumilio var. politus,VU,Ranunculus pumilio var. politus
Ranunculus sessiliflorus,sdm,,,V,Ranunculus sessiliflorus var. pilulifer,VU,Ranunculus sessiliflorus var. pilulifer
Rhodanthe oppositifolia,ibra,,,V,Rhodanthe oppositifolia ssp. oppositifolia,VU,Rhodanthe oppositifolia ssp. oppositifolia
Rhodanthe troedelii,sdm,,,,,RA,Rhodanthe troedelii
Roepera humillima,ibra,,,R,Roepera humillima,,
Rorippa eustylis,sdm,,,,,RA,Rorippa eustylis
Rostratula australis,sdm,EN,Rostratula australis,E,Rostratula australis,EN,Rostratula australis
Rumex tenax,sdm,,,,,RA,Rumex tenax
Saccolaimus flaviventris,sdm,,,R,Saccolaimus flaviventris,,
Santalum spicatum,sdm,,,V,Santalum spicatum,RA,Santalum spicatum
Scambopus curvipes,ibra,,,,,RA,Scambopus curvipes
Scleroblitum atriplicinum,ibra,,,,,RA,Scleroblitum atriplicinum
Sclerolaena bicuspis,ibra,,,,,RA,Sclerolaena bicuspis
Senecio cunninghamii,sdm,,,,,VU,Senecio cunninghamii var. cunninghamii
Senecio cunninghamii,sdm,,,,,RA,Senecio cunninghamii var. flindersensis
Senecio eremicola,sdm,,,,,RA,Senecio eremicola
Senecio gawlerensis,sdm,,,R,Senecio gawlerensis,RA,Senecio gawlerensis
Senecio laceratus,sdm,,,R,Senecio laceratus,RA,Senecio laceratus
Senna cardiosperma,sdm,,,,,RA,Senna cardiosperma ssp. cardiosperma
Senna planitiicola,sdm,,,,,RA,Senna planitiicola
Sinumelon bitaeniata,sdm,,,,,,
Sinumelon flindersi,ibra,,,,,,
Sinumelon gawleri,ibra,,,,,,
